id,year,platform,publisher,genre,na_sales,eu_sales,jp_sales,ot_sales,gb_sales
1267,1990,2,1,1,0.28,0.5,0.65,0.05,1.48
1268,1999,12,29,10,1.2,0.25,0.02,0.02,1.48
1269,1997,3,1,2,0.7,0.35,0.39,0.04,1.48
1270,2011,6,8,4,0.78,0.47,0.03,0.2,1.48
1271,2005,7,3,1,0.72,0.56,0,0.19,1.48
1272,2004,7,8,10,1.08,0.2,0,0.2,1.48
1273,2004,14,6,9,0.82,0.59,0,0.07,1.48
1274,2007,4,6,8,0.39,0.92,0,0.17,1.47
1275,2012,23,6,9,0.58,0.55,0.06,0.28,1.47
1276,2008,6,6,10,0.72,0.41,0.14,0.2,1.47
1277,1999,12,1,9,0.62,0.18,0.65,0.02,1.47
1278,2003,9,29,2,1.04,0.37,0,0.06,1.47
1279,2006,5,8,10,1.33,0.03,0.01,0.1,1.47
1280,2013,6,15,9,0.45,0.4,0.44,0.18,1.47
1281,2008,4,17,4,0.69,0.2,0.49,0.09,1.47
1282,2010,5,18,9,0.95,0.4,0,0.12,1.47
1283,2008,1,9,7,0.78,0.5,0.03,0.15,1.47
1284,2007,4,32,11,1.15,0.2,0,0.12,1.47
1285,2012,23,4,2,0.4,0.72,0.02,0.33,1.47
1286,1998,13,10,4,0.29,0.19,0.89,0.1,1.46
1287,2004,9,29,2,1.02,0.38,0,0.06,1.46
1288,2012,5,6,7,0.93,0.4,0.02,0.12,1.46
1289,2008,5,8,7,0.81,0.46,0.04,0.15,1.46
1290,2003,7,40,6,0.72,0.56,0,0.19,1.46
1291,2008,4,29,2,0.46,0.83,0,0.17,1.46
1292,2011,5,29,7,0.83,0.48,0.02,0.12,1.46
1293,2001,19,11,5,0.95,0.37,0.1,0.04,1.46
1294,1981,16,70,2,1.36,0.08,0,0.02,1.46
1295,1998,13,14,10,0.81,0.55,0,0.1,1.46
1296,2005,19,1,1,0.93,0.24,0.25,0.04,1.46
1297,2012,6,8,4,0.63,0.59,0.03,0.21,1.46
1298,2012,1,20,9,0.94,0.4,0,0.11,1.46
1299,2012,6,8,9,0.47,0.65,0.06,0.28,1.46
1300,1998,13,29,10,1.17,0.2,0.04,0.05,1.46
1301,2006,17,9,10,0.53,0.58,0,0.35,1.46
1302,2013,10,1,2,0.51,0.75,0.07,0.12,1.46
1303,2004,7,13,9,0.37,0.47,0.54,0.07,1.45
1304,2013,5,5,4,0.89,0.44,0,0.12,1.45
1305,2015,18,20,9,0.86,0.46,0,0.13,1.45
1306,2008,6,3,7,0.75,0.49,0.01,0.21,1.45
1307,2004,7,3,7,0.71,0.55,0,0.19,1.45
1308,2011,15,6,12,0,1.13,0,0.32,1.45
1309,2003,7,13,9,0.54,0.35,0.46,0.1,1.45
1310,2007,1,8,6,0.53,0.76,0,0.16,1.45
1311,1996,3,26,8,0,0,1.44,0.01,1.45
1312,1984,2,1,6,0,0,1.45,0,1.45
1313,1993,8,26,10,0,0,1.45,0,1.45
1314,1997,3,26,8,0,0,1.44,0.01,1.45
1315,1999,12,26,6,1.24,0.17,0.03,0.01,1.45
1316,2008,1,8,5,0.97,0.34,0,0.13,1.45
1317,2010,4,17,4,0.11,0.08,1.24,0.02,1.45
1318,2005,7,5,1,1.38,0.05,0,0.02,1.45
1319,2007,4,6,6,0.37,0.9,0,0.18,1.45
1320,2007,4,71,6,0.79,0.53,0,0.13,1.44
1321,2007,7,4,6,0.04,1.08,0,0.32,1.44
1322,2006,17,9,3,0.73,0.42,0,0.28,1.44
1323,2013,15,8,8,0.48,0.77,0,0.19,1.44
1324,1996,8,1,2,0.26,0.07,1.09,0.02,1.44
1325,2014,6,6,7,0.33,0.79,0.08,0.23,1.44
1326,2007,5,29,10,0.92,0.38,0,0.13,1.44
1327,2010,5,2,3,0.92,0.4,0,0.12,1.44
1328,2006,1,6,6,1.23,0.07,0.02,0.11,1.44
1329,2013,6,8,3,0.33,0.74,0.05,0.31,1.44
1330,2004,7,8,1,1.03,0.32,0,0.09,1.44
1331,2011,6,8,7,0.73,0.5,0,0.21,1.44
1332,2002,7,8,1,1.16,0.08,0,0.19,1.44
1333,1999,13,28,9,0.8,0.54,0,0.09,1.43
1334,2013,5,32,9,0.96,0.37,0,0.11,1.43
1335,2009,1,5,9,0.91,0.39,0,0.13,1.43
1336,2009,5,9,6,0.85,0.46,0,0.13,1.43
1337,2008,1,8,1,0.81,0.48,0,0.14,1.43
1338,1988,3,13,2,0.82,0.23,0.35,0.03,1.43
1339,2004,9,1,2,0,0,1.39,0.03,1.43
1340,1999,13,8,1,0.79,0.54,0,0.09,1.43
1341,2013,10,17,4,0.07,0.04,1.3,0.01,1.42
1342,2002,7,5,1,0.7,0.54,0,0.18,1.42
1343,2010,6,29,10,0.8,0.41,0.02,0.19,1.42
1344,2005,7,8,1,1.35,0.05,0,0.02,1.42
1345,2004,9,1,9,0.89,0.22,0.22,0.1,1.42
1346,2004,7,8,1,1.15,0.08,0,0.19,1.42
1347,2011,5,9,2,0.71,0.57,0,0.14,1.42
1348,1994,8,1,9,0.57,0.12,0.71,0.02,1.42
1349,1987,2,26,1,0.12,0,1.3,0,1.42
1350,2008,5,8,9,0.89,0.4,0,0.13,1.42
1351,2002,19,13,9,0.63,0.38,0.35,0.05,1.42
1352,2009,4,1,4,0,0.21,1.18,0.03,1.42
1353,2014,11,17,9,0.47,0.64,0.06,0.25,1.41
1354,2006,17,18,9,0.58,0.51,0,0.32,1.41
1355,2010,1,32,9,0.64,0.63,0,0.14,1.41
1356,2009,5,8,10,0.95,0.34,0,0.13,1.41
1357,2005,19,22,9,1.09,0.28,0,0.04,1.41
1358,2013,5,20,10,0.97,0.34,0,0.11,1.41
1359,2014,6,8,1,1.07,0.15,0,0.19,1.41
1360,1994,21,19,2,0.97,0.37,0.03,0.05,1.41
1361,2004,17,4,3,0.36,0.45,0.32,0.28,1.41
1362,2010,1,1,9,0.87,0.31,0.13,0.1,1.41
1363,1999,13,8,10,1.02,0.34,0,0.05,1.41
1364,2003,7,4,3,0,0.47,0.77,0.17,1.41
1365,2001,7,4,3,1.19,0.17,0,0.05,1.41
1366,2004,7,8,3,0.69,0.54,0,0.18,1.41
1367,2010,1,5,7,0.82,0.47,0,0.12,1.4
1368,2002,14,5,9,1.07,0.28,0,0.05,1.4
1369,2008,7,8,3,0.38,0.08,0.03,0.93,1.4
1370,1996,13,4,1,1.15,0.2,0,0.05,1.4
1371,2008,6,6,9,0.43,0.7,0.01,0.27,1.4
1372,2004,9,29,2,0.74,0.52,0.08,0.06,1.4
1373,1990,2,10,4,0,0,1.39,0.01,1.4
1374,2013,15,8,7,0.38,0.86,0,0.16,1.4
1375,2002,7,36,3,0.03,1.05,0.02,0.3,1.4
1376,2001,13,8,1,0.78,0.53,0,0.09,1.39
1377,2016,11,7,7,0.49,0.66,0.02,0.22,1.39
1378,2007,4,17,4,0.34,0.42,0.54,0.1,1.39
1379,2009,4,5,9,1.27,0.02,0,0.09,1.39
1380,2011,6,17,7,0.5,0.6,0.07,0.23,1.39
1381,1994,8,31,1,1.19,0.16,0,0.03,1.39
1382,1991,2,15,9,1.05,0.17,0.15,0.02,1.39
1383,2005,7,49,9,0.24,0.18,0.91,0.06,1.39
1384,2007,1,32,9,0.87,0.38,0,0.13,1.39
1385,2012,6,29,9,0.51,0.62,0,0.26,1.39
1386,2011,5,17,7,0.76,0.48,0.02,0.12,1.39
1387,2003,14,5,9,0.96,0.37,0,0.05,1.38
1388,2005,17,8,8,0.49,0.56,0,0.33,1.38
1389,2000,12,1,4,0.58,0.18,0.59,0.02,1.38
1390,2012,10,1,4,0.5,0.32,0.49,0.07,1.38
1391,2014,5,8,7,0.87,0.38,0.02,0.11,1.38
1392,1998,13,3,7,0.77,0.54,0,0.07,1.38
1393,2012,23,72,4,0.46,0.34,0.38,0.21,1.38
1394,2010,6,13,9,0.43,0.57,0.15,0.22,1.38
1395,2009,1,8,6,0.71,0.53,0,0.13,1.38
1396,2007,1,32,11,1.24,0.04,0,0.09,1.38
1397,2009,4,12,5,0.8,0.43,0.01,0.13,1.38
1398,2001,7,31,1,0.67,0.53,0,0.18,1.38
1399,2011,5,8,9,0.63,0.58,0,0.15,1.38
1400,2008,7,18,9,0.6,0.01,0,0.76,1.37
1401,2014,6,6,9,0.46,0.62,0.06,0.23,1.37
1402,2006,6,26,3,0.24,0.7,0.16,0.26,1.37
1403,1998,13,5,6,0.76,0.52,0,0.09,1.37
1404,2014,18,2,3,0.5,0.78,0.01,0.09,1.37
1405,2008,6,4,3,0.43,0.67,0.02,0.26,1.37
1406,2010,4,9,2,0.74,0.5,0.01,0.13,1.37
1407,2004,14,5,4,0.99,0.33,0,0.05,1.37
1408,2010,6,20,9,0.55,0.6,0,0.22,1.37
1409,1998,12,1,12,0,0,1.37,0,1.37
1410,2014,6,3,1,0.86,0.27,0.02,0.22,1.36
1411,2004,14,6,7,0.86,0.45,0,0.06,1.36
1412,2003,9,24,2,0.63,0.66,0,0.07,1.36
1413,2008,5,8,3,0.63,0.58,0.01,0.15,1.36
1414,2008,7,4,6,0.23,0.04,0,1.09,1.36
1415,1986,2,15,7,0.27,0.08,1,0.01,1.36
1416,1996,8,25,4,0,0,1.36,0,1.36
1417,1981,16,11,7,1.26,0.08,0,0.01,1.36
1418,2014,10,1,2,0.47,0.51,0.28,0.09,1.36
1419,2013,18,2,9,0.82,0.42,0,0.11,1.36
1420,2002,7,8,7,0.67,0.52,0,0.17,1.36
1421,2011,6,13,10,0.81,0.29,0.11,0.14,1.35
1422,1999,13,15,8,0,0,1.26,0.09,1.35
1423,2010,6,36,3,0.25,0.76,0.08,0.27,1.35
1424,1997,13,8,1,1.29,0.03,0,0.03,1.35
1425,2008,17,8,1,0.23,0.73,0.02,0.37,1.35
1426,2007,4,11,6,1.18,0.01,0.06,0.09,1.35
1427,2007,17,8,1,0.2,0.76,0,0.39,1.35
1428,2009,4,3,9,0.59,0.57,0.05,0.14,1.35
1429,2010,5,2,9,0.66,0.51,0.05,0.13,1.35
1430,2008,6,8,7,0.76,0.36,0.05,0.18,1.35
1431,2015,18,20,10,1,0.21,0,0.13,1.35
1432,2004,7,8,9,0.22,0.05,1.06,0.02,1.35
1433,2003,14,24,3,0.7,0.58,0,0.07,1.35
1434,2008,5,13,9,0.79,0.34,0.08,0.13,1.35
1435,2008,6,6,7,0.66,0.45,0.04,0.21,1.35
1436,2005,17,13,4,0.24,0.04,1.03,0.04,1.35
1437,2011,5,8,9,0.7,0.5,0.02,0.12,1.35
1438,1997,13,10,4,0.15,0.04,1.07,0.09,1.35
1439,2004,7,4,6,0,1.04,0,0.31,1.35
1440,2007,5,8,1,0.31,0.89,0.01,0.14,1.35
1441,2011,6,4,11,0.67,0.37,0.13,0.17,1.35
1442,2002,7,11,3,0.95,0.21,0.01,0.18,1.34
1443,2005,4,1,4,0.77,0.07,0.43,0.08,1.34
1444,2006,5,13,7,1.09,0.04,0.1,0.11,1.34
1445,1994,21,31,10,1.03,0.27,0,0.04,1.34
1446,2005,14,5,7,0.85,0.43,0,0.06,1.34
1447,2004,19,1,2,0.84,0.22,0.24,0.04,1.34
1448,2006,7,8,3,1.22,0.05,0.05,0.01,1.34
1449,2003,7,3,7,0.65,0.51,0,0.17,1.34
1450,2000,15,8,12,1.32,0.02,0,0,1.34
1451,2004,7,8,1,1.1,0.06,0,0.18,1.34
1452,2007,6,29,10,0.62,0.5,0.01,0.21,1.33
1453,2004,7,4,2,1.27,0.05,0,0.02,1.33
1454,2010,5,6,1,0.79,0.42,0,0.11,1.33
1455,2011,6,7,7,0.47,0.59,0.06,0.21,1.33
1456,2013,5,5,2,0.86,0.36,0,0.11,1.33
1457,2013,11,3,1,0.89,0.31,0.01,0.12,1.33
1458,2002,9,5,9,0.92,0.35,0.01,0.05,1.33
1459,1998,12,31,10,1.08,0.24,0,0.02,1.33
1460,2000,3,5,1,0.9,0.38,0.01,0.05,1.33
1461,2003,9,8,8,0.93,0.35,0,0.06,1.33
1462,2000,13,8,1,0.74,0.5,0,0.09,1.33
1463,2004,19,1,7,0.87,0.35,0.07,0.04,1.33
1464,2010,5,29,10,0.9,0.31,0,0.11,1.33
1465,2013,6,17,4,0.43,0.4,0.32,0.18,1.33
1466,2004,7,73,3,0.65,0.51,0,0.17,1.33
1467,2007,4,6,8,0.71,0.48,0,0.13,1.33
1468,2010,4,1,4,0.51,0.17,0.58,0.06,1.33
1469,2014,18,20,9,0.72,0.5,0.01,0.1,1.32
1470,2005,17,8,3,0.69,0.38,0.02,0.24,1.32
1471,2008,6,20,9,0.72,0.42,0,0.19,1.32
1472,2014,6,26,4,0.4,0.36,0.4,0.17,1.32
1473,2008,15,5,4,0.01,0.13,0,1.18,1.32
1474,2014,6,17,4,0.52,0.43,0.18,0.19,1.32
1475,2014,5,20,9,0.69,0.52,0,0.11,1.32
1476,1998,13,36,3,0.03,1.16,0.02,0.11,1.32
1477,1985,2,1,5,0.73,0.16,0.4,0.03,1.32
1478,2002,7,11,1,1.06,0.08,0,0.18,1.32
1479,1997,13,22,10,0.73,0.5,0,0.09,1.32
1480,2003,9,13,4,0.31,0.04,0.96,0.01,1.32
1481,2010,6,4,7,0.77,0.3,0.09,0.16,1.32
1482,1996,13,8,1,0.73,0.5,0,0.09,1.32
1483,2011,4,32,3,0.72,0.44,0.04,0.12,1.32
1484,2012,5,5,9,0.75,0.45,0,0.11,1.32
1485,1996,13,74,3,0.73,0.5,0,0.09,1.31
1486,2002,7,7,3,0.64,0.5,0,0.17,1.31
1487,2009,5,32,6,0.97,0.23,0,0.11,1.31
1488,2009,5,26,10,0.71,0.42,0.05,0.13,1.31
1489,2009,5,5,9,0.84,0.35,0,0.12,1.31
1490,2009,1,75,6,1.22,0,0,0.09,1.31
1491,2005,7,5,2,0.78,0.45,0,0.07,1.31
1492,1999,13,29,11,0.57,0.67,0,0.07,1.31
1493,2009,4,20,12,0.81,0.38,0,0.12,1.31
1494,1983,16,5,2,1.22,0.07,0,0.02,1.31
1495,2002,7,31,7,0.64,0.5,0,0.17,1.31
1496,2008,1,32,6,0.68,0.49,0,0.13,1.31
1497,2008,1,6,1,1.11,0.04,0.06,0.09,1.31
1498,2004,14,8,3,0.84,0.43,0,0.04,1.31
1499,2002,9,15,4,0.94,0.35,0,0.02,1.3
1500,2011,6,8,9,0.45,0.57,0.06,0.21,1.3
1501,2006,7,8,1,1.07,0.04,0.02,0.17,1.3
1502,2013,6,42,9,0.56,0.44,0.09,0.21,1.3
1503,2005,7,4,6,0.27,0.02,0,1.02,1.3
1504,2007,1,8,1,0.69,0.48,0,0.13,1.3
1505,1997,13,76,3,1.05,0.2,0,0.05,1.3
1506,1995,8,10,4,0,0,1.29,0.01,1.3
1507,2010,1,8,1,0.78,0.4,0,0.11,1.3
1508,1999,13,26,4,0.56,0.38,0.28,0.08,1.3
1509,2015,18,17,11,0.53,0.64,0.02,0.1,1.3
1510,2006,1,8,3,0.46,0.66,0.02,0.15,1.29
1511,2015,20,1,2,0.61,0.47,0.11,0.1,1.29
1512,2002,9,13,4,0.39,0.02,0.85,0.03,1.29
1513,2012,6,8,1,0.11,0.92,0,0.25,1.29
1514,2002,19,13,9,0.54,0.27,0.45,0.04,1.29
1515,2005,5,8,3,1,0.17,0.02,0.1,1.29
1516,2015,18,6,7,0.73,0.44,0,0.12,1.29
1517,2003,9,73,2,0.93,0.34,0,0.02,1.29
1518,2004,7,11,7,0.63,0.49,0,0.16,1.29
1519,2008,1,5,6,1.04,0.14,0,0.1,1.29
1520,2008,4,1,11,0.76,0.4,0,0.12,1.29
1521,2008,6,9,4,0.71,0.2,0.24,0.13,1.29
1522,2005,7,3,3,1.22,0.05,0,0.01,1.29
1523,2004,7,77,4,0.63,0.49,0,0.16,1.28
1524,2014,5,6,9,0.72,0.45,0.01,0.11,1.28
1525,2008,4,6,8,0.55,0.59,0,0.14,1.28
1526,2014,11,15,9,0.45,0.46,0.17,0.2,1.28
1527,1989,3,1,6,0,0,1.28,0,1.28
1528,2015,18,6,9,0.61,0.56,0,0.11,1.28
1529,1999,13,29,9,1.1,0.14,0,0.04,1.28
1530,2012,5,29,9,0.72,0.45,0,0.11,1.28
1531,1999,13,43,3,1.07,0.16,0,0.04,1.28
1532,2003,7,3,9,0.63,0.49,0,0.16,1.28
1533,2012,10,1,9,0.48,0.35,0.36,0.07,1.28
1534,2001,7,15,9,0.62,0.49,0,0.16,1.28
1535,2008,6,22,9,0.45,0.56,0.05,0.22,1.27
1536,1997,13,15,2,0.58,0.4,0.21,0.08,1.27
1537,2005,15,8,8,1.22,0.05,0,0,1.27
1538,2008,7,20,9,0.72,0.03,0,0.52,1.27
1539,1995,13,8,3,0.71,0.48,0,0.08,1.27
1540,2012,10,1,4,0.44,0.3,0.47,0.06,1.27
1541,1981,16,48,7,1.18,0.08,0,0.01,1.27
1542,2008,5,3,1,1,0.16,0,0.11,1.27
1543,2011,5,29,10,0.74,0.4,0,0.12,1.27
1544,2003,14,5,1,0.85,0.37,0,0.05,1.27
1545,1984,2,1,7,0.68,0.16,0.41,0.02,1.27
1546,2015,18,7,4,0.77,0.38,0,0.12,1.27
1547,2008,1,42,1,0.96,0.2,0,0.11,1.27
1548,2002,7,11,4,0.49,0.38,0.26,0.13,1.27
1549,2007,1,3,1,0.39,0.73,0,0.15,1.27
1550,2003,19,9,2,0.87,0.3,0.06,0.03,1.27
1551,2004,7,4,9,0.62,0.48,0,0.16,1.27
1552,1994,13,4,10,0.39,0.26,0.53,0.08,1.27
1553,2016,10,38,9,0,0,1.27,0,1.27
1554,2008,4,5,9,0.56,0.57,0,0.14,1.26
1555,2005,4,11,8,0.1,0.02,1.12,0.01,1.26
1556,2010,15,9,1,0,1.01,0,0.25,1.26
1557,1998,13,29,5,0.05,0.03,1.1,0.08,1.26
1558,2007,4,17,8,0.54,0.05,0.62,0.05,1.26
1559,2014,20,1,9,0.61,0.42,0.13,0.1,1.26
1560,2006,6,8,3,0.49,0.52,0.03,0.21,1.26
1561,2003,15,22,1,0,1.15,0,0.11,1.26
1562,1998,13,36,1,0.02,1.13,0.01,0.1,1.26
1563,2007,4,29,9,0.5,0.62,0,0.14,1.26
1564,1998,13,28,6,0.99,0.22,0,0.04,1.26
1565,2012,5,20,9,0.63,0.51,0,0.11,1.26
1566,2007,1,79,1,0.45,0.68,0,0.12,1.26
1567,2008,6,4,7,0.94,0.17,0.02,0.13,1.25
1568,2000,13,8,1,0.7,0.47,0,0.08,1.25
1569,2008,7,18,9,0.49,0,0.01,0.75,1.25
1570,2007,6,6,7,0.47,0.53,0.03,0.22,1.25
1571,1988,2,26,4,0,0,1.25,0,1.25
1572,1987,2,26,4,0,0,1.25,0,1.25
1573,1996,13,80,1,0.99,0.13,0.1,0.04,1.25
1574,2013,6,20,10,0.48,0.53,0.01,0.23,1.25
1575,2005,19,1,4,0.71,0.19,0.31,0.03,1.25
1576,2006,7,8,7,1.01,0.04,0.03,0.16,1.25
1577,2002,15,11,12,1.19,0.05,0,0,1.25
1578,2003,7,22,9,0.61,0.48,0,0.16,1.25
1579,2004,7,6,9,0.52,0.56,0,0.17,1.25
1580,1998,13,8,3,1.05,0.16,0,0.04,1.25
1581,2005,7,4,7,0.85,0.03,0.22,0.14,1.24
1582,2001,7,19,4,0.61,0.48,0,0.16,1.24
1583,2007,4,5,9,1.12,0.03,0,0.09,1.24
1584,2011,6,26,4,0.29,0.19,0.67,0.09,1.24
1585,2007,4,1,3,1.1,0.04,0,0.1,1.24
1586,2009,6,5,9,0.65,0.41,0,0.19,1.24
1587,2009,17,6,9,0.43,0.48,0.05,0.28,1.24
1588,1997,13,14,2,0.75,0.44,0,0.06,1.24
1589,2015,18,26,4,0.66,0.47,0,0.11,1.24
1590,2000,7,26,9,0.24,0.19,0.75,0.06,1.24
1591,2008,7,29,10,0.69,0,0,0.55,1.24
1592,1992,3,1,5,0.56,0.22,0.43,0.03,1.24
1593,2005,14,5,9,0.82,0.38,0,0.04,1.24
1594,2007,1,59,9,0.55,0.55,0,0.13,1.23
1595,2001,7,15,2,0.6,0.47,0,0.16,1.23
1596,2010,6,8,1,0.3,0.64,0.07,0.22,1.23
1597,2004,14,2,9,0.92,0.2,0.07,0.04,1.23
1598,2002,14,21,2,0.59,0.57,0,0.07,1.23
1599,2004,7,11,3,0.6,0.47,0,0.16,1.23
1600,2003,13,4,6,0.69,0.47,0,0.08,1.23
1601,2014,15,81,8,0.08,1.02,0,0.13,1.23
1602,2008,5,5,6,1,0.14,0,0.1,1.23
1603,2007,6,8,7,0.25,0.7,0.03,0.25,1.23
1604,2000,3,1,5,0.29,0.17,0.75,0.02,1.23
1605,2003,9,29,2,0.88,0.33,0,0.02,1.23
1606,1998,13,5,3,0.68,0.47,0,0.08,1.23
1607,1986,2,15,2,0.54,0.06,0.62,0.01,1.23
1608,2004,9,1,2,0.79,0.27,0.12,0.04,1.23
1609,2009,6,9,9,0.44,0.41,0.21,0.17,1.23
1610, Inc.: Mega MicroGame$,2003,9,1,0.4,0.11,0.7,0.02,1.23
1611,2005,17,18,7,1.05,0.06,0.01,0.11,1.23
1612,2016,11,8,1,0.92,0.08,0,0.23,1.23
1613,2008,1,8,5,0.72,0.38,0,0.12,1.23
1614,2015,15,7,4,0.5,0.63,0,0.1,1.23
1615,2007,1,8,8,0.45,0.64,0,0.14,1.23
1616,2012,6,20,9,0.5,0.53,0,0.2,1.22
1617,2010,6,26,10,0.42,0.47,0.15,0.18,1.22
1618,2004,19,1,1,0.58,0.16,0.46,0.03,1.22
1619,1997,13,4,5,0.13,0.07,1,0.02,1.22
1620,1997,3,1,6,0.76,0.3,0.12,0.04,1.22
1621,1999,3,1,6,0.79,0.31,0.08,0.04,1.22
1622,1984,2,26,5,0.27,0.08,0.85,0.02,1.22
1623,2006,7,82,11,0.59,0.46,0.01,0.15,1.22
1624,2011,6,36,3,0.12,0.75,0.11,0.25,1.22
1625,2006,17,29,3,0.72,0.29,0,0.21,1.22
1626,1997,13,8,1,1.13,0.05,0,0.03,1.22
1627,1997,13,10,4,0,0,1.14,0.08,1.22
1628,2002,9,1,4,0.61,0.27,0.27,0.07,1.22
1629,1996,13,47,8,0.68,0.46,0,0.08,1.22
1630,2001,14,3,7,0.98,0.19,0,0.05,1.22
1631,1998,13,8,10,0.68,0.46,0,0.08,1.22
1632,2002,7,9,1,0.59,0.46,0.01,0.15,1.22
1633,2011,10,13,10,0.55,0.44,0.14,0.09,1.22
1634,2006,7,29,3,1.01,0.04,0,0.16,1.21
1635,2001,14,2,6,0.93,0.24,0,0.04,1.21
1636,2004,14,5,7,0.78,0.4,0,0.04,1.21
1637,2010,17,8,1,0.13,0.7,0.01,0.37,1.21
1638,2002,7,4,2,1.03,0.14,0,0.04,1.21
1639,2009,4,5,9,0.66,0.43,0,0.12,1.21
1640,1992,8,13,2,0.66,0.17,0.35,0.03,1.21
1641,2001,13,25,4,0,0,1.2,0.01,1.21
1642,1999,13,18,9,0.66,0.48,0.01,0.06,1.21
1643,2000,13,19,9,0.34,0.49,0.28,0.1,1.21
1644,2003,19,8,3,0.69,0.48,0.01,0.03,1.21
1645,1997,13,8,3,0.67,0.46,0,0.08,1.21
1646,2006,17,8,1,0.24,0.65,0,0.32,1.21
1647,2005,17,15,1,0.01,0.88,0.31,0,1.2
1648,2002,7,83,9,0.59,0.46,0,0.15,1.2
1649,2011,6,18,9,0.52,0.49,0,0.2,1.2
1650,2004,7,84,3,1,0.04,0,0.16,1.2
1651,2004,19,1,12,0.48,0.13,0.56,0.03,1.2
1652,2015,1,6,6,0.52,0.59,0,0.1,1.2
1653,2008,1,32,6,0.77,0.31,0,0.12,1.2
1654,2015,18,8,7,0.72,0.37,0.01,0.11,1.2
1655,2015,11,3,1,0.41,0.6,0,0.19,1.2
1656,1993,8,26,10,0,0,1.2,0,1.2
1657,1986,2,15,7,0,0,1.2,0,1.2
1658,1986,2,15,2,0,0,1.2,0,1.2
1659,1999,22,9,1,1.12,0.05,0,0.02,1.2
1660,1989,3,1,7,0.4,0.39,0.36,0.04,1.2
1661,2003,14,11,9,0.72,0.43,0.01,0.04,1.2
1662,2001,7,8,1,0.59,0.46,0,0.15,1.2
1663,2006,4,1,5,0.74,0.03,0.36,0.07,1.2
1664,2009,1,1,11,0.55,0.17,0.42,0.06,1.2
1665,2012,6,26,9,0.01,0.24,0.86,0.09,1.2
1666,2013,6,3,1,0.49,0.49,0,0.21,1.19
1667,2006,17,15,9,0.38,0.35,0.38,0.09,1.19
1668,1997,13,8,8,0.66,0.45,0,0.08,1.19
1669,2014,20,1,5,0.56,0.36,0.19,0.09,1.19
1670,2007,17,29,10,0.45,0.47,0,0.28,1.19
1671,2003,9,29,3,0.86,0.32,0,0.02,1.19
1672,2008,1,15,1,0.09,0.84,0.11,0.15,1.19
1673,2002,9,29,2,0.92,0.23,0,0.04,1.19
1674,2012,10,9,1,0.18,0.64,0.27,0.1,1.19
1675,2006,7,24,9,0.99,0.04,0,0.16,1.19
1676,1998,12,1,1,1.02,0.13,0.04,0.01,1.19
1677,1990,2,13,2,0.68,0.14,0.35,0.02,1.19
1678,1999,13,6,3,0.99,0.16,0,0.04,1.19
1679,2013,18,8,1,0.41,0.66,0,0.12,1.19
1680,2002,19,5,9,0.86,0.27,0.01,0.04,1.19
1681,2004,9,1,4,0.64,0.24,0.29,0.02,1.19
1682,2016,11,3,1,0.83,0.14,0,0.22,1.19
1683,2015,10,1,4,0.46,0.31,0.33,0.08,1.19
1684,2012,5,6,6,0.9,0.2,0,0.08,1.19
1685,1999,13,15,11,0.66,0.45,0,0.08,1.18
1686,1982,16,11,3,1.1,0.07,0,0.01,1.18
1687,2012,6,13,9,0.48,0.25,0.36,0.1,1.18
1688,2008,17,18,9,0.4,0.49,0,0.29,1.18
1689,1988,2,26,1,0.1,0,1.08,0,1.18
1690,1999,22,9,11,0.52,0.24,0.38,0.04,1.18
1691,2000,3,1,1,0.5,0.18,0.44,0.06,1.18
1692,2001,9,5,1,0.85,0.31,0,0.02,1.18
1693,2011,6,29,10,0.53,0.46,0.02,0.17,1.18
1694,2009,6,29,10,0.48,0.49,0.01,0.2,1.18
1695,2011,4,85,12,0.95,0.15,0,0.08,1.18
1696,2006,6,9,2,0.41,0.07,0.04,0.66,1.18
1697,1991,8,13,2,0.5,0.14,0.52,0.02,1.18
1698,2008,15,8,12,0.03,1.06,0,0.09,1.17
1699,1996,13,8,8,0.65,0.44,0,0.08,1.17
1700,2011,5,6,1,0.7,0.37,0,0.1,1.17
1701,2008,6,8,7,0.74,0.26,0.02,0.15,1.17
1702,2005,7,5,7,0.98,0.04,0,0.16,1.17
1703,2002,7,8,2,0.57,0.45,0,0.15,1.17
1704,2008,1,1,2,0.6,0.31,0.15,0.11,1.17
1705,2007,4,9,2,0.54,0.49,0.01,0.12,1.17
1706,2012,5,8,9,0.58,0.47,0.01,0.1,1.17
1707,1990,2,13,2,0.68,0.1,0.39,0,1.17
1708,2016,11,4,2,0.32,0.64,0.04,0.18,1.17
1709,1997,12,86,9,0.74,0.38,0.02,0.03,1.17
1710,1993,8,10,4,0,0,1.17,0,1.17
1711,2003,7,87,1,0.57,0.45,0,0.15,1.17
1712,1998,13,43,1,0.65,0.44,0,0.08,1.17
1713,1996,13,4,3,0.16,0.11,0.83,0.08,1.17
1714,2003,14,8,7,0.76,0.36,0,0.05,1.17
1715,2012,15,9,1,0,0.95,0,0.22,1.17
1716,1996,13,88,3,0.65,0.44,0,0.08,1.17
1717,2008,5,8,2,0.51,0.51,0.01,0.13,1.17
1718,2015,18,5,7,0.82,0.23,0,0.11,1.17
1719,2004,9,1,5,0.68,0.25,0.21,0.02,1.17
1720,2008,6,5,9,0.43,0.52,0.02,0.2,1.16
