id,name,year,platform,publisher,genre
4684,'98 Koshien,1998,13,187,1
4685,NBA 2K9,2008,7,3,1
4686,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),2001,9,15,6
4687,Speed Racer: The Videogame,2008,1,20,3
4688,Naughty Bear,2010,5,12,9
4689,Littlest Pet Shop,2008,1,8,8
4690,TNA iMPACT!,2008,6,40,10
4691,Just Dance Kids 2,2011,5,6,6
4692,Duke Nukem Forever,2011,15,3,7
4693,Hatsune Miku: Project Diva 2nd,2010,17,9,6
4694,Marvel: Ultimate Alliance 2,2009,7,5,4
4695,Mario no Super Picross,1995,8,1,5
4696,Ed, Edd n Eddy: The Mis-Edventures,2005,7,40,2
4697,Jikkyou Powerful Pro Yakuu '94,1994,8,15,1
4698,Disney's Tarzan Untamed,2001,7,6,2
4699,Borderlands: The Handsome Collection,2015,18,3,7
4700,The Gunstringer,2011,5,2,7
4701,Knockout Kings 2001,2000,13,8,10
4702,From Russia With Love,2005,7,8,9
4703,FIFA Soccer 13,2012,15,8,9
4704,Asura's Wrath,2012,6,13,9
4705,Avatar: The Game,2009,4,6,9
4706,My Virtual Tutor: Reading Adventure First to Second Grade,2009,4,188,6
4707,Minority Report: Everybody Runs,2002,7,5,9
4708,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,2003,13,4,6
4709,NFL GameDay 2002,2001,13,4,1
4710,Pengo,1983,16,11,11
4711,Disney Sing It! High School Musical 3: Senior Year,2008,6,32,6
4712,Story of Seasons,2014,10,1,8
4713,Beowulf: The Game,2007,5,6,9
4714,Mouse Trap,1981,16,70,9
4715,Super Monkey Ball: Step & Roll,2010,1,9,9
4716,Hatsune Miku: Project Diva F 2nd,2014,23,9,6
4717,Overlord,2007,5,36,12
4718,Tak and the Power of Juju,2003,19,29,2
4719,Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions),2007,6,5,9
4720,Sega Superstars Tennis,2008,6,9,1
4721,Dragon Quest X,2013,20,17,4
4722,Wall-E,2008,6,29,2
4723,Medarot: Kabuto / Kuwagata Version,1997,3,157,4
4724,NBA 2K10,2009,7,3,1
4725,Defender,2002,7,40,6
4726,WipeOut 3 The Game,2012,1,5,9
4727,Taiko no Tatsujin Wii: Dodon to 2 Yome!,2009,1,26,6
4728,Thief (2014),2014,6,17,9
4729,Congo Bongo,1982,16,9,9
4730,Gauntlet: Seven Sorrows,2005,7,40,4
4731,Harry Potter: Quidditch World Cup,2003,19,8,1
4732,Advance Wars: Dual Strike,2005,4,1,12
4733,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,2009,4,15,9
4734,Warriors Orochi 2 (JP sales),2008,7,49,9
4735,WWE SmackDown! vs. RAW 2006,2005,17,29,10
4736,The Chronicles of Narnia: Prince Caspian,2008,7,32,9
4737,The Incredibles: Rise of the Underminer,2005,9,29,9
4738,Pet in TV,1997,13,4,12
4739,Battalion Wars,2005,19,1,12
4740,NBA ShootOut 2000,1999,13,43,1
4741,Power Rangers: Dino Thunder,2004,19,29,9
4742,Rocksmith 2014,2014,18,6,6
4743,Samurai Shodown,1994,8,152,10
4744,NHL 15,2014,18,8,1
4745,TMNT,2007,1,6,9
4746,Final Fantasy Crystal Chronicles: The Crystal Bearers,2009,1,17,9
4747,Cabela's Big Game Hunter 2010,2009,6,57,1
4748,EA Sports UFC 2,2016,18,8,1
4749,10 Vipers,1995,24,9,10
4750,NCAA GameBreaker 2000,1999,13,43,1
4751,Iron Man 2,2010,6,9,9
4752,The Legend of Spyro: Dawn of the Dragon,2008,7,24,2
4753,AKB1/48: Idol to Guam de Koishitara...,2011,17,26,6
4754,RR64: Ridge Racer 64,1999,12,1,3
4755,Top Gear Rally,1997,12,189,3
4756,NFL Quarterback Club 2000,1999,12,31,1
4757,Mortal Kombat Mythologies: Sub-Zero,1997,12,40,10
4758,18 Wheeler: American Pro Trucker,2001,7,31,3
4759,Atari Anthology,2004,7,11,6
4760,Bugs Bunny: Lost in Time,1999,13,53,2
4761,NBA Jam,2010,5,8,1
4762,Sherlock Holmes: The Mystery of the Mummy,2009,4,81,11
4763,Hot Wheels: Beat That!,2007,7,5,3
4764,MLB 2006,2005,7,4,1
4765,Star Wars The Clone Wars: Republic Heroes,2009,5,18,9
4766,Brunswick Pro Bowling,2007,7,12,1
4767,Mafia II,2010,15,3,9
4768,Rocket Power: Dream Scheme,2001,9,29,9
4769,SpongeBob's Truth or Square (US sales),2009,1,29,9
4770,MX vs. ATV Unleashed,2005,14,29,3
4771,Rampage: Total Destruction,2006,19,40,9
4772,Planet 51,2009,4,9,9
4773,The Urbz: Sims in the City,2004,19,8,8
4774,Road Rash: Jailbreak,1999,13,8,3
4775,Mother 3,2006,9,1,4
4776,Nicktoons: Freeze Frame Frenzy,2004,9,29,9
4777,Diner Dash: Sizzle & Serve,2007,4,22,5
4778,Rapala Pro Bass Fishing 2010,2010,5,5,1
4779,Legends of WrestleMania,2009,5,29,10
4780,Wii Sports Club,2014,20,1,1
4781,Tomb Raider: Anniversary,2007,5,22,9
4782,You Don't Know Jack,1999,13,24,6
4783,Mystery Dungeon: Shiren the Wanderer,1995,8,120,4
4784,Sonic Lost World,2013,20,9,2
4785,Condemned 2: Bloodshot,2008,6,9,9
4786,Star Wars: Clone Wars,2002,19,5,7
4787,NBA Live 2002,2001,14,8,1
4788,Boku no Natsuyasumi,2000,13,4,11
4789,Armored Core V,2012,6,26,8
4790,I-Ninja,2003,7,4,2
4791,Command & Conquer,1996,13,19,12
4792,NBA Jam,2010,6,8,1
4793,Mass Effect 2,2010,15,8,4
4794,SD Gundam G Generation Seed,2004,7,26,12
4795,Call of Duty: Finest Hour,2004,19,5,7
4796,Scooby-Doo! and the Spooky Swamp,2010,4,20,9
4797,Naruto: Path of the Ninja,2007,4,59,4
4798,Rise of the Tomb Raider,2015,5,17,11
4799,Hitman: Blood Money,2006,5,22,9
4800,Tales of Phantasia,1995,8,26,4
4801,Alpha Protocol,2010,5,9,4
4802,Suzuki TT Superbikes,2005,7,131,3
4803,Rumble Roses,2004,7,15,10
4804,Just Dance 2014,2013,6,6,6
4805,Fantastic Four: Rise of the Silver Surfer,2007,7,3,9
4806,Ultimate Spider-Man,2005,14,5,9
4807,GRID 2,2013,6,36,3
4808,LEGO The Lord of the Rings,2012,10,20,9
4809,Juiced 2: Hot Import Nights,2007,7,29,3
4810,Skylanders: SuperChargers,2015,6,5,9
4811,NHL 99,1998,12,8,1
4812,NBA 2K10,2009,1,3,1
4813,Dungeon Siege III,2011,6,17,4
4814,Viking: Battle for Asgard,2008,6,9,9
4815,Brunswick Pro Bowling,2007,1,12,1
4816,Monster Jam: Urban Assault,2008,4,5,3
4817,Danball Senki,2011,17,38,4
4818,NASCAR Heat,2000,13,28,3
4819,Bloody Roar,1997,13,19,10
4820,Bump 'n' Jump,1982,16,140,3
4821,Mobile Suit Gundam: Lost War Chronicles,2002,7,26,7
4822,Disney's Brother Bear,2003,9,29,9
4823,Naruto: Clash of Ninja Revolution 2,2008,1,100,10
4824,NBA Live 09,2008,7,8,1
4825,LEGO Star Wars III: The Clone Wars,2011,17,18,9
4826,The House of The Dead III,2002,14,9,7
4827,Rune Factory: Frontier,2008,1,71,4
4828,Fire Emblem: Fuuin no Tsurugi,2002,9,1,4
4829,SpongeBob's Truth or Square (US sales),2009,17,29,9
4830,FIFA 12,2011,10,8,1
4831,Ener-G: Gym Rockets,2008,4,6,1
4832,The Darkness II,2012,5,3,7
4833,NBA Live 09,2008,17,8,1
4834,Laser Blast,1981,16,5,9
4835,Dancing with the Stars: We Dance!,2008,4,5,6
4836,LocoRoco,2006,17,4,2
4837,Thrasher Presents: Skate and Destroy,1998,13,3,1
4838,Are You Smarter than a 5th Grader? Make the Grade,2008,4,29,6
4839,Donkey Konga 2,2004,19,1,6
4840,Just Dance 2014,2013,11,6,6
4841,Metal Gear Solid: The Legacy Collection,2013,6,15,11
4842,Tear Ring Saga Yutona Eiyuu Senki,2001,13,155,4
4843,Project X Zone,2012,10,26,4
4844,Red Faction: Armageddon,2011,5,29,7
4845,Wipeout 2048,2012,23,4,3
4846,Need for Speed: Nitro,2009,4,8,3
4847,Mystery Case Files: The Malgrave Incident,2011,1,1,11
4848,Yoshi Touch & Go,2005,4,1,2
4849,EA Sports Active 2,2010,5,8,1
4850,Combat of Giants: Dinosaurs 3D,2011,10,6,12
4851,Taiko no Tatsujin Wii: Ketteiban,2011,1,26,6
4852,Age of Empires III,2005,15,2,12
4853,SSX 3,2003,14,8,1
4854,MLB 15: The Show,2015,6,4,1
4855,Madden NFL 2005,2004,9,8,1
4856,All-Star Baseball 2000,1999,12,31,1
4857,Custom Robo V2,2000,12,1,10
4858,Extreme-G: XG2,1998,12,31,3
4859,BattleTanx: Global Assault,1999,12,29,9
4860,Chibi-Robo! Plug into Adventure!,2005,19,1,11
4861,Dawn of Discovery,2009,15,6,8
4862,Jampack Winter 2003 (RP-T),2003,7,4,6
4863,Dancing with the Stars: We Dance!,2008,1,5,6
4864,Kengo: Master of Bushido,2000,7,6,10
4865,Blood Omen 2,2002,7,22,9
4866,Sesame Street: Elmo's A-to-Zoo Adventure,2010,1,20,6
4867,Skylanders Giants,2012,20,5,9
4868,Just Dance 4,2012,20,6,6
4869,Super Fire ProWrestling,1991,8,190,10
4870,Cabela's Dangerous Hunts 2,2005,7,5,1
4871,Marvel: Ultimate Alliance,2006,6,5,4
4872,SpongeBob vs The Big One: Beach Party Cook Off,2009,4,29,11
4873,MotoGP 08,2008,6,13,3
4874,Imagine: Party Babyz,2008,1,6,8
4875,Chessmaster,2003,7,6,6
4876,Tiger Woods PGA Tour 14,2013,6,8,1
4877,Fatal Fury,1992,8,152,10
4878,Farming Simulator 2013,2013,5,81,8
4879,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,2001,3,58,4
4880,The Dog Island,2007,1,6,11
4881,Madden NFL Football,2011,10,8,1
4882,The Sims 2,2005,9,8,8
4883,Ice Age 2: The Meltdown,2006,7,24,2
4884,MLB 14: The Show,2014,6,143,1
4885,Super Famista 3,1994,8,26,1
4886,Auto Modellista,2002,7,13,3
4887,Tom Clancy's Ghost Recon 2: Summit Strike,2005,14,6,7
4888,Junior Classic Games,2009,4,191,6
4889,Hooked! Again: Real Motion Fishing,2009,1,12,1
4890,Tiger Woods PGA Tour 08,2007,7,8,1
4891,Karaoke Revolution Presents American Idol Encore,2008,7,15,6
4892,Airlock,1981,16,192,9
4893,Tokimeki Memorial 2,1999,13,15,8
4894,Samurai Warriors Chronicles,2011,10,49,9
4895,Tomb Raider: Legend,2006,5,22,9
4896,Ice Age: Dawn of the Dinosaurs,2009,4,5,9
4897,Dance Party: Pop Hits,2009,1,125,6
4898,Harry Potter: Quidditch World Cup,2003,9,8,1
4899,Jam Sessions: Sing and Play Guitar (US sales),2007,4,6,6
4900,Saints Row IV,2015,11,42,9
4901,Evil Dead: Fistfull of Boomstick,2003,7,29,9
4902,One Piece: Unlimited World Red,2013,10,26,9
4903,Phantasy Star Ø,2008,4,9,4
4904,Triple Play 97,1996,13,193,1
4905,Virtua Tennis 2009,2009,6,9,1
4906,Super Soccer,1991,8,1,1
4907,Shin Megami Tensei: Nocturne,2003,7,145,4
4908,Wario Land II (GBC),1998,3,1,2
4909,San Francisco Rush: Extreme Racing,1997,13,14,3
4910,Dragon's Crown,2013,23,132,4
4911,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,1998,13,190,3
4912,Imagine: Salon Stylist,2009,4,6,8
4913,ESPN College Hoops 2K5,2004,14,9,1
4914,Looney Tunes: Acme Arsenal,2007,7,20,9
4915,Cabela's Dangerous Hunts 2009,2008,1,57,1
4916,Fragile Dreams: Farewell Ruins of the Moon,2009,1,71,4
4917,SD Gundam G Generation Spirits,2007,7,26,12
4918,Batman: Arkham City,2012,20,20,9
4919,Disney Sing It,2008,6,32,6
4920,Peppa Pig: The Game,2009,1,108,6
4921,God Eater 2: Rage Burst,2015,23,26,4
4922,Get Fit with Mel B,2010,6,194,1
4923,The Cat in the Hat,2005,9,195,2
4924,Naruto Shippuden: Ultimate Ninja Heroes 3,2009,17,26,10
4925,NFL GameDay 2002,2001,7,4,1
4926,Turok: Evolution,2002,19,31,7
4927,Destiny: The Taken King,2015,5,5,7
4928,Tamagotchi Connection: Corner Shop 3,2007,4,11,8
4929,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,2002,7,26,12
4930,Ice Age,2002,9,6,9
4931,Sega Superstars Tennis,2008,7,9,1
4932,Headhunter,2002,7,9,9
4933,Skate,2007,6,8,1
4934,Shin Megami Tensei: Devil Summoner,1995,24,72,4
4935,Raving Rabbids: Travel in Time 3D,2011,10,6,2
4936,NCAA Football 08,2007,6,8,1
4937,Marvel Nemesis: Rise of the Imperfects,2005,19,8,10
4938,NHL 15,2014,6,8,1
4939,ESPN Extreme Games,1994,13,4,1
4940,Forza Horizon 3,2016,18,2,3
4941,Overlord: Dark Legend,2009,1,36,9
4942,Ninja: Shadow of Darkness,1998,13,22,9
4943,SD Gundam G Generation-F,2000,13,26,12
4944,Bratz: Rock Angelz,2005,7,29,6
4945,FlatOut,2004,7,90,3
4946,Phoenix Wright: Ace Attorney - Dual Destinies,2013,10,13,11
4947,SSX 3,2003,19,8,1
4948,NCAA Football 11,2010,7,8,1
4949,Tales of Zestiria,2015,11,26,4
4950,Lilo & Stitch 2: Hämsterviel Havoc,2004,9,32,9
4951,Metal Gear Solid: Snake Eater 3D,2012,10,15,9
4952,Risk: Global Domination,2003,7,11,12
4953,Elite Beat Agents,2006,4,1,6
4954,NBA 2K7,2006,6,3,1
4955,Mobile Suit Gundam version 2.0,1996,13,26,9
4956,Grandia Xtreme,2002,7,25,4
4957,Silent Scope,2000,7,15,7
4958,Final Fantasy Adventure,1991,3,10,4
4959,Virtua Tennis 2009,2009,1,9,1
4960,Dora The Explorer: Dora Saves the Snow Princess,2008,7,3,2
4961,The Incredible Hulk,2008,7,9,9
4962,Mercenaries 2: World in Flames,2008,7,8,7
4963,Cabela's Big Game Hunter 2012,2011,1,5,1
4964,EA Sports MMA,2010,6,8,10
4965,Iron Man 2,2010,17,9,9
4966,DiRT 2,2009,1,36,3
4967,Tokimeki Memorial: Forever with You,1996,24,15,8
4968,MediEvil II,1999,13,4,9
4969,Guitar Hero On Tour: Modern Hits,2009,4,5,6
4970,Hunter: The Reckoning,2002,14,118,9
4971,MX vs. ATV Untamed,2007,7,29,3
4972,Rogue Trip: Vacation 2012,1998,13,14,3
4973,Dai-4-Ji Super Robot Taisen,1995,8,58,12
4974,Tiger Woods PGA Tour 08,2007,17,8,1
4975,Pokemon Channel,2003,19,1,11
4976,Taiko no Tatsujin Portable DX,2011,17,26,6
4977,Etrian Odyssey IV: Legends of the Titans,2012,10,72,4
4978,Moto Racer World Tour,2000,13,4,3
4979,NCAA Final Four 2000,1999,13,196,1
4980,Scribblenauts: Unlimited,2012,20,20,9
4981,FIFA 17,2016,6,8,1
4982,Saints Row: The Third,2011,15,29,9
4983,Just Dance 2015,2014,11,6,6
4984,Madagascar: Escape 2 Africa,2008,7,5,9
4985,ZhuZhu Pets: Featuring The Wild Bunch,2010,1,5,8
4986,Petz Rescue: Wildlife Vet,2008,4,6,8
4987,Green Day: Rock Band,2010,1,32,6
4988,Gravitar,1982,16,11,9
4989,Monster Jam: Path of Destruction,2010,4,5,3
4990,Toukiden: The Age of Demons,2013,23,49,9
4991,EyeToy Play 2,2004,7,4,6
4992,Dance Dance Revolution Ultramix 3,2005,14,15,8
4993,Mobile Suit Gundam: Extreme VS Full Boost,2014,6,26,10
4994,WWE SmackDown vs. Raw 2011,2010,7,29,10
4995,Need for Speed: Hot Pursuit,2010,15,8,3
4996,The Legend of Spyro: A New Beginning,2006,4,24,2
4997,Pro Evolution Soccer 2011 3D,2011,10,15,1
4998,Shin Megami Tensei: Devil Survivor Overclocked,2011,10,145,4
4999,Dragon Ball Z: Attack of the Saiyans,2009,4,26,4
5000,Marvel Super Hero Squad,2009,1,29,10
5001,The House of the Dead: Overkill - Extended Cut,2011,6,9,7
5002,Harry Potter and the Prisoner of Azkaban,2004,19,8,9
5003,Quake 4,2005,5,5,7
5004,Petz Rescue: Ocean Patrol,2008,4,6,11
5005,Solaris,1986,16,11,7
5006,Puppy Palace,2008,4,6,8
5007,Super Dragon Ball Z,2006,7,11,10
5008,Paws & Claws: Pampered Pets,2009,4,29,8
5009,ESPN: Sports Connection,2012,20,6,1
5010,Alien: Isolation,2014,6,9,7
5011,Naruto Shippuden: Ninja Destiny 2,2008,4,197,10
5012,SAW,2009,6,15,9
5013,The Legend of Spyro: The Eternal Night,2007,4,24,2
5014,Tobal 2,1997,13,10,10
5015,Digging for Dinosaurs,2010,4,117,9
5016,Trivial Pursuit,2009,5,8,6
5017,Tiger Woods PGA Tour 09,2008,7,8,1
5018,Ultimate Spider-Man,2005,19,5,9
5019,Life is Strange,2016,11,17,11
5020,Kingdom Under Fire: Circle of Doom,2007,5,2,4
5021,NBA Inside Drive 2002,2002,14,2,1
5022,The BIGS,2007,1,3,1
5023,Major League Baseball 2K6,2006,5,130,1
5024,Kileak: The DNA Imperative,1994,13,4,7
5025,Petz: Catz 2,2006,7,6,8
5026,Mini Ninjas,2009,1,22,9
5027,Tom Clancy's The Division,2016,15,6,7
5028,Phantasy Star Portable 2: Infinity,2011,17,9,4
5029,Hell's Kitchen: The Game,2008,4,6,8
5030,LEGO Dimensions,2015,18,20,9
5031,Monsters, Inc. Scream Arena,2002,19,29,2
5032,Reel Fishing III,2003,7,80,1
5033,Cabela's Deer Hunt 2005 Season,2004,7,5,1
5034,Prince of Persia: The Forgotten Sands,2010,17,6,9
5035,Rampage: Total Destruction,2006,7,40,9
5036,High Heat Major League Baseball 2003,2002,7,29,1
5037,Madden NFL 11,2010,17,8,1
5038,Super Formation Soccer 94,1994,8,190,1
5039,Panzer Dragoon,1995,24,9,7
5040,Tiger Woods PGA Tour 12: The Masters,2011,1,8,1
5041,Rage,2011,15,7,7
5042,Spider-Man: Friend or Foe,2007,7,5,9
5043,Yarudora Series Vol.1: Double Cast,1998,13,4,11
5044,Dungeon Siege III,2011,5,17,4
5045,Juiced 2: Hot Import Nights,2007,17,29,3
5046,Rec Room Games,2009,1,154,1
5047,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,2000,12,120,4
5048,Turok: Rage Wars,1999,12,31,7
5049,Scooby-Doo! Classic Creep Capers,2000,12,29,9
5050,Dragonfire,1981,16,48,9
5051,Custom Robo,2004,19,1,4
5052,FIFA Soccer 13,2012,17,8,9
5053,Command & Conquer: Red Alert 3 Ultimate Edition,2009,6,8,12
5054,Harry Potter and the Order of the Phoenix,2007,17,8,9
5055,Medieval II: Total War Gold Edition,2008,15,9,12
5056,Pac-Man World 2,2002,19,1,9
5057,Kotoba no Puzzle: Mojipittan DS,2007,4,26,5
5058,Barbie Horse Adventures: Blue Ribbon Race,2003,9,177,1
5059,Bionic Commando,2009,6,13,2
5060,Wanted: Weapons of Fate,2009,5,20,7
5061,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,2003,9,17,11
5062,Dishonored,2015,11,7,9
5063,Marvel: Ultimate Alliance,2006,17,5,4
5064,NFL Street 2 Unleashed,2005,17,8,1
5065,Super Robot Taisen EX,1994,8,58,12
5066,FIFA Street 2,2006,7,8,1
5067,Bottom of the 9th,1999,12,15,1
5068,Theatrhythm Final Fantasy: Curtain Call,2014,10,17,6
5069,Trauma Center: Under the Knife,2005,4,1,8
5070,Shin Megami Tensei II,1994,8,72,4
5071,Xenosaga Episode III: Also sprach Zarathustra,2006,7,26,4
5072,Build-A-Bear Workshop: A Friend Fur All Seasons,2008,1,103,8
5073,Sid Meier's Civilization: Beyond Earth,2014,15,3,12
5074,Need for Speed: The Run,2011,15,8,9
5075,Virtua Fighter 3tb,1998,22,9,10
5076,Transformers: Dark of the Moon,2011,6,5,9
5077,Mini-Yonku GB: Let's & Go!!,1997,3,51,12
5078,Skylanders SWAP Force,2013,11,5,2
5079,LEGO Batman 2: DC Super Heroes,2012,23,20,9
5080,Rock Band 4,2015,11,180,6
5081,Left 4 Dead 2,2009,15,50,7
5082,The Sims 2: Castaway,2007,7,8,8
5083,NCAA Football 07,2006,17,8,1
5084,The Chronicles of Narnia: Prince Caspian,2008,1,32,9
5085,Dreamworks Madagascar Kartz,2009,4,5,3
5086,My Horse & Me,2007,4,11,1
5087,GoldenEye: Rogue Agent,2004,19,8,7
5088,Zero4 Champ RR,1994,8,198,1
5089,Dragon Ball Z: Infinite World,2008,7,26,10
5090,Nonomura Byoin no Hitobito,1996,24,199,11
5091,Tom Clancy's HAWX 2,2010,5,6,9
5092,ESPN X Games Skateboarding,2001,7,15,1
5093,Resident Evil Zero,2016,11,13,9
5094,Super Fire ProWrestling Special,1994,8,190,10
5095,Yuu Yuu Hakusho,1993,8,26,10
5096,Kamaitachi no Yoru 2,2002,7,120,11
5097,High Heat Major League Baseball 2004,2003,7,29,1
5098,Robots,2005,7,24,9
5099,NARC,2005,7,40,7
5100,One Piece: Gigant Battle!,2010,4,26,10
5101,Valkyrie Profile: Lenneth,2006,17,17,4
5102,Tiger Woods PGA Tour 09,2008,17,8,1
5103,Metro: Last Light,2013,5,42,9
5104,Tiger Woods PGA Tour 14,2013,5,8,1
5105,LocoRoco 2,2008,17,4,2
5106,Monster Rancher 3,2001,7,49,8
5107,The Incredibles: Rise of the Underminer,2005,7,29,9
5108,Spider-Man: Shattered Dimensions,2010,5,5,9
5109,BlazBlue: Calamity Trigger,2009,5,148,10
5110,MechWarrior 2: 31st Century Combat,1997,13,5,8
5111,Earth Defense Force 2025,2013,6,59,7
5112,Hamtaro: Ham-Ham Heartbreak,2002,9,1,9
5113,Okage: Shadow King,2001,7,4,4
5114,Press Your Luck 2010 Edition,2009,1,6,6
5115,Mobile Suit Z-Gundam,1997,13,26,9
5116,Speed Racer: The Videogame,2008,4,20,3
5117,NHL 2K10,2009,1,3,1
5118,Assassin's Creed III,2012,20,6,9
5119,Kirby's Dream Land 3,1997,8,1,2
5120,Big Bass World Championship,1997,13,201,1
5121,NFL GameDay 2001,2000,7,4,1
5122,NBA 2K6,2005,14,3,9
5123,Jurassic Park,1993,2,86,9
5124,Mystical Ninja starring Goemon,1997,12,15,9
5125,Tetrisphere,1997,12,1,5
5126,Saban's Power Rangers: Lightspeed Rescue,2000,12,29,9
5127,Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei,2013,23,105,10
5128,North American Hunting Extravaganza,2008,1,202,1
5129,World's Scariest Police Chases,2001,13,5,3
5130,Guitar Hero: Smash Hits,2009,6,5,6
5131,Shaun Palmer's Pro Snowboarder,2001,9,5,1
5132,AMF Bowling World Lanes,2008,1,7,1
5133,MechAssault 2: Lone Wolf,2004,14,2,8
5134,Middle-Earth: Shadow of Mordor,2014,15,20,9
5135,Hamster Club 3,2002,9,203,8
5136,Breath of Fire II,1994,8,150,4
5137,Call of Duty: Ghosts,2013,20,5,7
5138,LEGO Racers,1999,13,133,3
5139,NBA 2K12,2011,1,3,1
5140,Teenage Mutant Ninja Turtles: Smash-Up,2009,1,6,10
5141,Kinectimals: Now with Bears!,2011,5,2,6
5142,ESPN NFL Football,2003,14,9,1
5143,ATV/Monster Truck Mayhem,2007,4,204,3
5144,Naruto: Ultimate Ninja 3 (JP sales),2005,7,11,10
5145,Just Dance 2016,2015,5,6,6
5146,Worms: Open Warfare 2,2007,4,29,12
5147,Rapala Pro Fishing,2004,7,87,1
5148,J-League Pro Soccer Club o Tsukurou '04,2004,7,9,1
5149,Dark Void,2010,6,13,9
5150,James Bond 007: Legends,2012,6,5,7
5151,Dai-2-Ji Super Robot Taisen Z Saisei-hen,2012,17,26,12
5152,WWE '12,2011,1,29,10
5153,Disney's The Haunted Mansion,2003,7,3,2
5154,Arc the Lad: Twilight of the Spirits,2003,7,4,4
5155,Dance Dance Revolution 3rdMix,2000,13,15,8
5156,Ryu Ga Gotoku Kenzan!,2008,6,9,11
5157,U-Sing,2009,1,52,6
5158,Super Robot Taisen A,2001,9,58,12
5159,Chicken Shoot,2007,1,87,9
5160,Company of Heroes 2,2013,15,29,12
5161,Defiance,2013,6,149,7
5162,We Sing Deutsche Hits,2011,1,125,6
5163,Boxer's Road,1995,13,205,10
5164,Frogs And Flies,1981,16,140,9
5165,DanceDanceRevolution,2010,1,15,8
5166,Harry Potter and the Chamber of Secrets,2002,14,8,9
5167,EA Sports MMA,2010,5,8,10
5168,Toriko: Gourmet Survival!,2011,17,26,4
5169,South Park Rally,1998,13,31,3
5170,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,1994,8,15,2
5171,Monopoly,2008,6,8,6
5172,Mega Man Zero Collection,2010,4,13,2
5173,Arctic Thunder,2001,7,40,3
5174,G-Force,2009,17,8,9
5175,NHL 2K10,2009,7,3,1
5176,Football Manager Handheld 2010,2009,17,9,1
5177,J-League Pro Soccer Club o Tsukurou!,1999,22,9,1
5178,Wonder Pets! Save the Animals!,2008,4,3,11
5179,Formula 1 Championship Edition,1997,13,88,3
5180,Shrek,2001,14,73,2
5181,CSI: Deadly Intent - The Hidden Cases,2009,4,6,11
5182,SOCOM: Tactical Strike,2007,17,4,7
5183,Blasto,1998,13,4,9
5184,Trauma Center: Second Opinion,2006,1,1,8
5185,Backyard Baseball 2006,2005,9,11,1
5186,Dark Souls III,2016,18,26,4
5187,Cabela's Outdoor Adventures (2006),2005,7,87,1
5188,Nicktoons: Unite!,2005,19,29,11
5189,Suikoden V,2006,7,15,4
5190,Picross 2,1996,3,1,5
5191,Remember Me,2013,6,13,9
5192,Battalion Wars 2,2007,1,1,12
5193,Outlaw Golf 2,2004,7,64,1
5194,SpongeBob's Boating Bash,2010,1,29,6
5195,Sentouchu: Densetsu no Shinobi to Survival Battle!,2013,10,26,9
5196,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,2010,6,9,1
5197,Momotarou Dentetsu 12,2003,7,69,6
5198,Mini Ninjas,2009,6,22,9
5199,Tekken Tag Tournament 2,2012,5,26,10
5200,Batman: Rise of Sin Tzu,2003,7,6,9
5201,Disney's Tarzan: Return to the Jungle,2002,9,5,9
5202,Cabela's Dangerous Hunts,2003,14,87,1
5203,Terminator Salvation,2009,5,20,7
5204,Jikkyou Powerful Pro Yakyuu 13,2006,7,15,1
5205,Fossil Fighters: Frontier,2014,10,1,4
5206,Star Fox: Zero,2016,20,1,7
5207,Mega Man X3,1995,8,150,9
5208,Mini Ninjas,2009,4,22,9
5209,Stunt Race FX,1993,8,1,3
5210,Bloody Roar 3,2001,7,19,10
5211,WWE Crush Hour,2003,7,29,3
5212,Persona 2: Eternal Punishment,2000,13,72,4
5213,Star Wars: Flight of the Falcon,2003,9,29,9
5214,One Piece: Gigant Battle 2 Shin Sekai,2011,4,26,10
5215,Pac-Man All-Stars,2011,6,26,10
5216,Def Jam Rapstar,2010,1,15,6
5217,SimCity Creator,2008,4,8,8
5218,Hannah Montana: The Movie,2009,1,32,11
5219,Angry Birds Star Wars,2013,1,5,12
5220,Mega Man ZX Advent,2007,4,13,2
5221,Jikkyou Powerful Pro Yakyuu 2000,2000,12,15,1
5222,Sniper: Ghost Warrior 2,2013,6,89,7
5223,Racquet Sports,2010,6,6,1
5224,Harry Potter and the Deathly Hallows - Part 2,2011,1,8,9
5225,Supreme Commander 2,2010,5,17,12
5226,Resident Evil: Dead Aim,2003,7,13,9
5227,Need for Speed Carbon,2006,19,8,3
5228,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003,9,29,9
5229,SpongeBob SquarePants: The Yellow Avenger,2005,4,29,9
